#peakID	chr	start	end	strand	PC1
chr20-3200000	chr20	3200000	3250000	+	1.04453065381284
chr20-3250000	chr20	3250000	3300000	+	1.12742436489838
chr20-3300000	chr20	3300000	3350000	+	1.0837554413719
chr20-3350000	chr20	3350000	3400000	+	0.807562578376455
chr20-3400000	chr20	3400000	3450000	+	0.959459314678605
chr20-3450000	chr20	3450000	3500000	+	1.09435701622035
chr20-3500000	chr20	3500000	3550000	+	1.01127797967528
chr20-3550000	chr20	3550000	3600000	+	0.820857012565227
chr20-3600000	chr20	3600000	3650000	+	0.784748945921889
chr20-3650000	chr20	3650000	3700000	+	0.936458188040503
chr20-3700000	chr20	3700000	3750000	+	1.20918521768258
chr20-3750000	chr20	3750000	3800000	+	1.1132865403768
chr20-3800000	chr20	3800000	3850000	+	1.09181960855555
chr20-3850000	chr20	3850000	3900000	+	1.20753535816921
chr20-3900000	chr20	3900000	3950000	+	1.18077617415462
chr20-3950000	chr20	3950000	4000000	+	0.9666335035881
chr20-4000000	chr20	4000000	4050000	+	0.96817191063575
chr20-4050000	chr20	4050000	4100000	+	1.1726643830544
chr20-4100000	chr20	4100000	4150000	+	1.09162157945465
chr20-4150000	chr20	4150000	4200000	+	0.912373257674489
chr20-4200000	chr20	4200000	4250000	+	0.736426283361647
chr20-4250000	chr20	4250000	4300000	+	0.672526650594035
chr20-4300000	chr20	4300000	4350000	+	0.676410098369888
chr20-4350000	chr20	4350000	4400000	+	0.703043521673866
chr20-4400000	chr20	4400000	4450000	+	0.609413260925066
chr20-4450000	chr20	4450000	4500000	+	0.535850984985856
chr20-4500000	chr20	4500000	4550000	+	0.622038826905759
chr20-4550000	chr20	4550000	4600000	+	0.77800499758836
chr20-4600000	chr20	4600000	4650000	+	0.505454974430869
chr20-4650000	chr20	4650000	4700000	+	0.560996188662091
chr20-4700000	chr20	4700000	4750000	+	0.62394355693315
chr20-4750000	chr20	4750000	4800000	+	0.368429667341638
chr20-4800000	chr20	4800000	4850000	+	0.483973094723367
chr20-4850000	chr20	4850000	4900000	+	0.630453741587091
chr20-4900000	chr20	4900000	4950000	+	0.735783495169837
chr20-4950000	chr20	4950000	5000000	+	0.66183552541611
chr20-5000000	chr20	5000000	5050000	+	0.8011758594643
chr20-5050000	chr20	5050000	5100000	+	0.968174183446328
chr20-5100000	chr20	5100000	5150000	+	0.745636371613024
chr20-5150000	chr20	5150000	5200000	+	0.0995170013920976
chr20-5200000	chr20	5200000	5250000	+	-0.389269684862428
chr20-5250000	chr20	5250000	5300000	+	-0.491581121464681
chr20-5300000	chr20	5300000	5350000	+	-0.387055746351569
chr20-5350000	chr20	5350000	5400000	+	-0.64754590926075
chr20-5400000	chr20	5400000	5450000	+	-0.761483907323348
chr20-5450000	chr20	5450000	5500000	+	-0.500649786737638
chr20-5500000	chr20	5500000	5550000	+	-0.0894291751336593
chr20-5550000	chr20	5550000	5600000	+	0.165467240974311
chr20-5600000	chr20	5600000	5650000	+	0.290765776306242
chr20-5650000	chr20	5650000	5700000	+	0.607291140918229
chr20-5700000	chr20	5700000	5750000	+	0.520857516945185
chr20-5750000	chr20	5750000	5800000	+	0.191696111404995
chr20-5800000	chr20	5800000	5850000	+	-0.11058557984029
chr20-5850000	chr20	5850000	5900000	+	-0.236748431846046
chr20-5900000	chr20	5900000	5950000	+	-0.034347735725025
chr20-5950000	chr20	5950000	6000000	+	0.058887681449359
chr20-6000000	chr20	6000000	6050000	+	0.131433876686604
chr20-6050000	chr20	6050000	6100000	+	-0.119335284902125
chr20-6100000	chr20	6100000	6150000	+	-0.701045217378705
chr20-6150000	chr20	6150000	6200000	+	-0.954342466212717
chr20-6200000	chr20	6200000	6250000	+	-1.10576429399595
chr20-6250000	chr20	6250000	6300000	+	-1.28863013208858
chr20-6300000	chr20	6300000	6350000	+	-1.23288988432505
chr20-6350000	chr20	6350000	6400000	+	-1.0822786399271
chr20-6400000	chr20	6400000	6450000	+	-1.17080901191427
chr20-6450000	chr20	6450000	6500000	+	-1.15110134229712
chr20-6500000	chr20	6500000	6550000	+	-1.04949988273838
chr20-6550000	chr20	6550000	6600000	+	-0.938584092762438
chr20-6600000	chr20	6600000	6650000	+	-0.669120213192474
chr20-6650000	chr20	6650000	6700000	+	-0.363221711144791
chr20-6700000	chr20	6700000	6750000	+	-0.0429481770543861
chr20-6750000	chr20	6750000	6800000	+	-0.383537986949354
chr20-6800000	chr20	6800000	6850000	+	-0.527999652037797
chr20-6850000	chr20	6850000	6900000	+	-0.232013225185569
chr20-6900000	chr20	6900000	6950000	+	-0.255200359156286
chr20-6950000	chr20	6950000	7000000	+	-0.318881436196034
chr20-7000000	chr20	7000000	7050000	+	-0.619966986467364
chr20-7050000	chr20	7050000	7100000	+	-0.869744371939185
chr20-7100000	chr20	7100000	7150000	+	-0.834654343535065
chr20-7150000	chr20	7150000	7200000	+	-0.657791637896512
chr20-7200000	chr20	7200000	7250000	+	-0.675677468166314
chr20-7250000	chr20	7250000	7300000	+	-0.835782891177756
chr20-7300000	chr20	7300000	7350000	+	-0.923924310139961
chr20-7350000	chr20	7350000	7400000	+	-0.736157774687128
chr20-7400000	chr20	7400000	7450000	+	-0.621540223268374
chr20-7450000	chr20	7450000	7500000	+	-0.742719055628771
chr20-7500000	chr20	7500000	7550000	+	-0.623555174480854
chr20-7550000	chr20	7550000	7600000	+	-0.477537718978747
chr20-7600000	chr20	7600000	7650000	+	-0.666429474404378
chr20-7650000	chr20	7650000	7700000	+	-0.534917828445034
chr20-7700000	chr20	7700000	7750000	+	-0.300093243410949
chr20-7750000	chr20	7750000	7800000	+	-0.336479676751029
chr20-7800000	chr20	7800000	7850000	+	-0.489829166060649
chr20-7850000	chr20	7850000	7900000	+	-0.715200675883047
chr20-7900000	chr20	7900000	7950000	+	-0.741430711792113
chr20-7950000	chr20	7950000	8000000	+	-0.815983913358639
chr20-8000000	chr20	8000000	8050000	+	-0.973543240828754
chr20-8050000	chr20	8050000	8100000	+	-0.934578363530206
chr20-8100000	chr20	8100000	8150000	+	-1.12094443556729
chr20-8150000	chr20	8150000	8200000	+	-1.28187977910586
chr20-8200000	chr20	8200000	8250000	+	-1.20463836229177
chr20-8250000	chr20	8250000	8300000	+	-1.30097975251264
chr20-8300000	chr20	8300000	8350000	+	-1.29484251330491
chr20-8350000	chr20	8350000	8400000	+	-0.971543289776603
chr20-8400000	chr20	8400000	8450000	+	-0.961579632189172
chr20-8450000	chr20	8450000	8500000	+	-1.18933213971147
chr20-8500000	chr20	8500000	8550000	+	-1.28632015693967
chr20-8550000	chr20	8550000	8600000	+	-1.36032253574628
chr20-8600000	chr20	8600000	8650000	+	-1.38112316535218
chr20-8650000	chr20	8650000	8700000	+	-1.40451204540804
chr20-8700000	chr20	8700000	8750000	+	-1.36748856666214
chr20-8750000	chr20	8750000	8800000	+	-1.32395003897394
chr20-8800000	chr20	8800000	8850000	+	-1.20459939836094
chr20-8850000	chr20	8850000	8900000	+	-0.975181341207769
chr20-8900000	chr20	8900000	8950000	+	-1.02862307051542
chr20-8950000	chr20	8950000	9000000	+	-1.15968841745049
chr20-9000000	chr20	9000000	9050000	+	-0.882557843572121
chr20-9050000	chr20	9050000	9100000	+	-0.606697418863109
chr20-9100000	chr20	9100000	9150000	+	-0.603029041231027
chr20-9150000	chr20	9150000	9200000	+	-0.594758832383298
chr20-9200000	chr20	9200000	9250000	+	-0.334762554861943
chr20-9250000	chr20	9250000	9300000	+	-0.260260444678237
chr20-9300000	chr20	9300000	9350000	+	-0.535061752153096
chr20-9350000	chr20	9350000	9400000	+	-1.04518472559072
chr20-9400000	chr20	9400000	9450000	+	-1.2551314718647
chr20-9450000	chr20	9450000	9500000	+	-1.27505436174622
chr20-9500000	chr20	9500000	9550000	+	-1.19660384915542
chr20-9550000	chr20	9550000	9600000	+	-1.18076033314726
chr20-9600000	chr20	9600000	9650000	+	-1.16481245144045
chr20-9650000	chr20	9650000	9700000	+	-1.25454842268933
chr20-9700000	chr20	9700000	9750000	+	-1.32543427658683
chr20-9750000	chr20	9750000	9800000	+	-1.18264961125303
chr20-9800000	chr20	9800000	9850000	+	-1.11184415559672
chr20-9850000	chr20	9850000	9900000	+	-1.10589362846816
chr20-9900000	chr20	9900000	9950000	+	-0.902012544510382
chr20-9950000	chr20	9950000	10000000	+	-0.954145372057136
chr20-10000000	chr20	10000000	10050000	+	-1.09186079232623
chr20-10050000	chr20	10050000	10100000	+	-0.918836485075621
chr20-10100000	chr20	10100000	10150000	+	-0.962052327439757
chr20-10150000	chr20	10150000	10200000	+	-1.14177981700643
chr20-10200000	chr20	10200000	10250000	+	-1.1512685928875
chr20-10250000	chr20	10250000	10300000	+	-1.17005961431326
chr20-10300000	chr20	10300000	10350000	+	-1.07876955841443
chr20-10350000	chr20	10350000	10400000	+	-0.98436086473921
chr20-10400000	chr20	10400000	10450000	+	-0.593581805676285
chr20-10450000	chr20	10450000	10500000	+	-0.0281149871822809
chr20-10500000	chr20	10500000	10550000	+	0.0569713227376837
chr20-10550000	chr20	10550000	10600000	+	0.0878084259965566
chr20-10600000	chr20	10600000	10650000	+	0.0996542175188283
chr20-10650000	chr20	10650000	10700000	+	0.0829760717565522
chr20-10700000	chr20	10700000	10750000	+	0.222237619655485
chr20-10750000	chr20	10750000	10800000	+	0.45677668674952
chr20-10800000	chr20	10800000	10850000	+	0.48250927824291
chr20-10850000	chr20	10850000	10900000	+	0.505344525898461
chr20-10900000	chr20	10900000	10950000	+	0.52294951493666
chr20-10950000	chr20	10950000	11000000	+	0.323936266722125
chr20-11000000	chr20	11000000	11050000	+	0.157252303800533
chr20-11050000	chr20	11050000	11100000	+	0.124324299176431
chr20-11100000	chr20	11100000	11150000	+	0.324064795160061
chr20-11150000	chr20	11150000	11200000	+	0.371859587461542
chr20-11200000	chr20	11200000	11250000	+	0.149818102977468
chr20-11250000	chr20	11250000	11300000	+	-0.195506854057799
chr20-11300000	chr20	11300000	11350000	+	-0.243010019982912
chr20-11350000	chr20	11350000	11400000	+	0.146611239381165
chr20-11400000	chr20	11400000	11450000	+	0.314427787833006
chr20-11450000	chr20	11450000	11500000	+	0.171001807880558
chr20-11500000	chr20	11500000	11550000	+	-0.171642318340263
chr20-11550000	chr20	11550000	11600000	+	-0.580756398371361
chr20-11600000	chr20	11600000	11650000	+	-1.07241129953143
chr20-11650000	chr20	11650000	11700000	+	-0.932610192437474
chr20-11700000	chr20	11700000	11750000	+	-0.537634503197628
chr20-11750000	chr20	11750000	11800000	+	-0.350661188137951
chr20-11800000	chr20	11800000	11850000	+	-0.501213306283215
chr20-11850000	chr20	11850000	11900000	+	-0.3328386433609
chr20-11900000	chr20	11900000	11950000	+	-0.078162143101463
chr20-11950000	chr20	11950000	12000000	+	-0.319312936179595
chr20-12000000	chr20	12000000	12050000	+	-0.252231470841347
chr20-12050000	chr20	12050000	12100000	+	-0.0248120831514145
chr20-12100000	chr20	12100000	12150000	+	-0.200309480027251
chr20-12150000	chr20	12150000	12200000	+	-0.334067388975302
chr20-12200000	chr20	12200000	12250000	+	-0.167505700960728
chr20-12250000	chr20	12250000	12300000	+	-0.460511429684962
chr20-12300000	chr20	12300000	12350000	+	-0.74246499138399
chr20-12350000	chr20	12350000	12400000	+	-0.740484101253034
chr20-12400000	chr20	12400000	12450000	+	-0.970492438418979
chr20-12450000	chr20	12450000	12500000	+	-1.08486213382593
chr20-12500000	chr20	12500000	12550000	+	-1.05984048836399
chr20-12550000	chr20	12550000	12600000	+	-1.08124219276324
chr20-12600000	chr20	12600000	12650000	+	-1.12085295849055
chr20-12650000	chr20	12650000	12700000	+	-1.10879731733312
chr20-12700000	chr20	12700000	12750000	+	-1.13419303737156
chr20-12750000	chr20	12750000	12800000	+	-1.23910654760277
chr20-12800000	chr20	12800000	12850000	+	-1.16702149587185
chr20-12850000	chr20	12850000	12900000	+	-1.16107803242651
chr20-12900000	chr20	12900000	12950000	+	-1.15536343421081
chr20-12950000	chr20	12950000	13000000	+	-0.597365066231177
chr20-13000000	chr20	13000000	13050000	+	-0.177930442081738
chr20-13050000	chr20	13050000	13100000	+	-0.379633600619637
chr20-13100000	chr20	13100000	13150000	+	-0.598659458978197
chr20-13150000	chr20	13150000	13200000	+	-0.658091014037544
chr20-13200000	chr20	13200000	13250000	+	-0.636074499578414
chr20-13250000	chr20	13250000	13300000	+	-0.851110118390825
chr20-13300000	chr20	13300000	13350000	+	-1.01755147452304
chr20-13350000	chr20	13350000	13400000	+	-0.8856944559244
chr20-13400000	chr20	13400000	13450000	+	-0.872547428249845
chr20-13450000	chr20	13450000	13500000	+	-0.544151592756537
chr20-13500000	chr20	13500000	13550000	+	-0.180874268997545
chr20-13550000	chr20	13550000	13600000	+	-0.411677511512501
chr20-13600000	chr20	13600000	13650000	+	-0.603631026166829
chr20-13650000	chr20	13650000	13700000	+	-0.913274776782801
chr20-13700000	chr20	13700000	13750000	+	-0.725580760078899
chr20-13750000	chr20	13750000	13800000	+	-0.287082702470273
chr20-13800000	chr20	13800000	13850000	+	-0.329363934177555
chr20-13850000	chr20	13850000	13900000	+	-0.672960833087153
chr20-13900000	chr20	13900000	13950000	+	-0.926893069980242
chr20-13950000	chr20	13950000	14000000	+	-1.00429048099061
chr20-14000000	chr20	14000000	14050000	+	-0.908144473937485
chr20-14050000	chr20	14050000	14100000	+	-0.993500325124154
chr20-14100000	chr20	14100000	14150000	+	-0.904953664236742
chr20-14150000	chr20	14150000	14200000	+	-0.577016982225292
chr20-14200000	chr20	14200000	14250000	+	-0.0533077301216532
chr20-14250000	chr20	14250000	14300000	+	-0.064332973364446
chr20-14300000	chr20	14300000	14350000	+	-0.252680401775336
chr20-14350000	chr20	14350000	14400000	+	-0.123966968326846
chr20-14400000	chr20	14400000	14450000	+	0.0238653898181315
chr20-14450000	chr20	14450000	14500000	+	-0.0697088045110684
chr20-14500000	chr20	14500000	14550000	+	-0.155434718178914
chr20-14550000	chr20	14550000	14600000	+	-0.296036889214545
chr20-14600000	chr20	14600000	14650000	+	-0.116509907726463
chr20-14650000	chr20	14650000	14700000	+	0.036462681695259
chr20-14700000	chr20	14700000	14750000	+	0.0600420077322124
chr20-14750000	chr20	14750000	14800000	+	0.036989273006092
chr20-14800000	chr20	14800000	14850000	+	0.0506144577164003
chr20-14850000	chr20	14850000	14900000	+	0.0862308196789711
chr20-14900000	chr20	14900000	14950000	+	-0.0685819217555557
chr20-14950000	chr20	14950000	15000000	+	0.113930680272431
chr20-15000000	chr20	15000000	15050000	+	0.382985032951352
chr20-15050000	chr20	15050000	15100000	+	0.238999664419433
chr20-15100000	chr20	15100000	15150000	+	-0.0907165077185344
chr20-15150000	chr20	15150000	15200000	+	-0.270329860240582
chr20-15200000	chr20	15200000	15250000	+	-0.489781770680161
chr20-15250000	chr20	15250000	15300000	+	-0.554086998179037
chr20-15300000	chr20	15300000	15350000	+	-0.526684535282603
chr20-15350000	chr20	15350000	15400000	+	-0.71057710940907
chr20-15400000	chr20	15400000	15450000	+	-0.968247665308235
chr20-15450000	chr20	15450000	15500000	+	-0.979951100473411
chr20-15500000	chr20	15500000	15550000	+	-1.13796915030766
chr20-15550000	chr20	15550000	15600000	+	-1.35736142744586
chr20-15600000	chr20	15600000	15650000	+	-1.18692250321548
chr20-15650000	chr20	15650000	15700000	+	-1.21158825647374
chr20-15700000	chr20	15700000	15750000	+	-1.28285286501894
chr20-15750000	chr20	15750000	15800000	+	-1.07451919145303
chr20-15800000	chr20	15800000	15850000	+	-1.19354306046912
chr20-15850000	chr20	15850000	15900000	+	-1.20616766942134
chr20-15900000	chr20	15900000	15950000	+	-1.11568960800806
chr20-15950000	chr20	15950000	16000000	+	-1.14778065555917
chr20-16000000	chr20	16000000	16050000	+	-1.1535265994046
chr20-16050000	chr20	16050000	16100000	+	-1.18705431070154
chr20-16100000	chr20	16100000	16150000	+	-1.07536994767929
chr20-16150000	chr20	16150000	16200000	+	-1.23729712633635
chr20-16200000	chr20	16200000	16250000	+	-1.33354707432188
chr20-16250000	chr20	16250000	16300000	+	-1.21796088615019
chr20-16300000	chr20	16300000	16350000	+	-1.16003230852404
chr20-16350000	chr20	16350000	16400000	+	-1.20791977550482
chr20-16400000	chr20	16400000	16450000	+	-0.972682465503874
chr20-16450000	chr20	16450000	16500000	+	-0.82588209341166
chr20-16500000	chr20	16500000	16550000	+	-0.532340946601688
chr20-16550000	chr20	16550000	16600000	+	-0.421207152765505
chr20-16600000	chr20	16600000	16650000	+	-0.972386191990004
chr20-16650000	chr20	16650000	16700000	+	-1.08248000844913
chr20-16700000	chr20	16700000	16750000	+	-0.990838028228379
chr20-16750000	chr20	16750000	16800000	+	-1.13245955575634
chr20-16800000	chr20	16800000	16850000	+	-1.2714669877537
chr20-16850000	chr20	16850000	16900000	+	-1.18627603259196
chr20-16900000	chr20	16900000	16950000	+	-1.16679518713688
chr20-16950000	chr20	16950000	17000000	+	-1.41805583997868
chr20-17000000	chr20	17000000	17050000	+	-1.543860881264
chr20-17050000	chr20	17050000	17100000	+	-1.42904055030956
chr20-17100000	chr20	17100000	17150000	+	-1.41702202030291
chr20-17150000	chr20	17150000	17200000	+	-1.43204152511448
chr20-17200000	chr20	17200000	17250000	+	-1.31563424450673
chr20-17250000	chr20	17250000	17300000	+	-1.31981321794363
chr20-17300000	chr20	17300000	17350000	+	-1.37721269405521
chr20-17350000	chr20	17350000	17400000	+	-1.45255072566593
chr20-17400000	chr20	17400000	17450000	+	-1.34088381325221
chr20-17450000	chr20	17450000	17500000	+	-0.685969766782801
chr20-17500000	chr20	17500000	17550000	+	-0.00697176940548443
chr20-17550000	chr20	17550000	17600000	+	0.238485995601313
chr20-17600000	chr20	17600000	17650000	+	0.262320503131635
chr20-17650000	chr20	17650000	17700000	+	0.41730860574819
chr20-17700000	chr20	17700000	17750000	+	0.531056059625332
chr20-17750000	chr20	17750000	17800000	+	0.447667024590178
chr20-17800000	chr20	17800000	17850000	+	0.567114356711732
chr20-17850000	chr20	17850000	17900000	+	0.504098257426984
chr20-17900000	chr20	17900000	17950000	+	0.610863937073506
chr20-17950000	chr20	17950000	18000000	+	0.659247547531869
chr20-18000000	chr20	18000000	18050000	+	0.495603171765406
chr20-18050000	chr20	18050000	18100000	+	0.683407107045723
chr20-18100000	chr20	18100000	18150000	+	0.74189200344923
chr20-18150000	chr20	18150000	18200000	+	0.588616455987651
chr20-18200000	chr20	18200000	18250000	+	0.738555889538505
chr20-18250000	chr20	18250000	18300000	+	0.829806016900056
chr20-18300000	chr20	18300000	18350000	+	0.460088137494815
chr20-18350000	chr20	18350000	18400000	+	0.441388870437003
chr20-18400000	chr20	18400000	18450000	+	0.446010738941792
chr20-18450000	chr20	18450000	18500000	+	0.490933546511158
chr20-18500000	chr20	18500000	18550000	+	0.519291340550864
chr20-18550000	chr20	18550000	18600000	+	0.0647051165985706
chr20-18600000	chr20	18600000	18650000	+	-0.399203809981331
chr20-18650000	chr20	18650000	18700000	+	-0.373981565106953
chr20-18700000	chr20	18700000	18750000	+	-0.249572655445898
chr20-18750000	chr20	18750000	18800000	+	-0.485341644518158
chr20-18800000	chr20	18800000	18850000	+	-0.625559410263704
chr20-18850000	chr20	18850000	18900000	+	-0.388396731154125
chr20-18900000	chr20	18900000	18950000	+	-0.437201419661604
chr20-18950000	chr20	18950000	19000000	+	-0.589632785145323
chr20-19000000	chr20	19000000	19050000	+	-0.705357020429594
chr20-19050000	chr20	19050000	19100000	+	-0.671484095326643
chr20-19100000	chr20	19100000	19150000	+	-0.712605482631548
chr20-19150000	chr20	19150000	19200000	+	-0.85053978925815
chr20-19200000	chr20	19200000	19250000	+	-0.937835421204145
chr20-19250000	chr20	19250000	19300000	+	-1.01882429382226
chr20-19300000	chr20	19300000	19350000	+	-1.22090139528216
chr20-19350000	chr20	19350000	19400000	+	-1.20554399820479
chr20-19400000	chr20	19400000	19450000	+	-0.926041883052078
chr20-19450000	chr20	19450000	19500000	+	-1.05692949763006
chr20-19500000	chr20	19500000	19550000	+	-0.957303489939027
chr20-19550000	chr20	19550000	19600000	+	-0.802279941055928
chr20-19600000	chr20	19600000	19650000	+	-0.733389177940327
chr20-19650000	chr20	19650000	19700000	+	0.132074457248014
chr20-19700000	chr20	19700000	19750000	+	0.28359224288973
chr20-19750000	chr20	19750000	19800000	+	-0.0119535792383492
chr20-19800000	chr20	19800000	19850000	+	-0.047007530237319
chr20-19850000	chr20	19850000	19900000	+	0.34643137109318
chr20-19900000	chr20	19900000	19950000	+	0.493758365691029
chr20-19950000	chr20	19950000	20000000	+	0.257502114414645
chr20-20000000	chr20	20000000	20050000	+	0.160908975271846
chr20-20050000	chr20	20050000	20100000	+	-0.2885847545453
chr20-20100000	chr20	20100000	20150000	+	-0.910171990545639
chr20-20150000	chr20	20150000	20200000	+	-0.883285705503976
chr20-20200000	chr20	20200000	20250000	+	-0.79378428694465
chr20-20250000	chr20	20250000	20300000	+	-0.898352796647126
chr20-20300000	chr20	20300000	20350000	+	-0.779662383498264
chr20-20350000	chr20	20350000	20400000	+	-0.679141080739957
chr20-20400000	chr20	20400000	20450000	+	-0.641924873504304
chr20-20450000	chr20	20450000	20500000	+	-0.430648415126242
chr20-20500000	chr20	20500000	20550000	+	-0.0586287554057586
chr20-20550000	chr20	20550000	20600000	+	-0.244038105857918
chr20-20600000	chr20	20600000	20650000	+	-0.38539537225391
chr20-20650000	chr20	20650000	20700000	+	-0.284511485354969
chr20-20700000	chr20	20700000	20750000	+	-0.148287518122291
chr20-20750000	chr20	20750000	20800000	+	-0.06433736987818
chr20-20800000	chr20	20800000	20850000	+	-0.397615558786593
chr20-20850000	chr20	20850000	20900000	+	-0.884941746479773
chr20-20900000	chr20	20900000	20950000	+	-1.2414085536412
chr20-20950000	chr20	20950000	21000000	+	-1.1440682174944
chr20-21000000	chr20	21000000	21050000	+	-0.932045023273564
chr20-21050000	chr20	21050000	21100000	+	-0.595351770914904
chr20-21100000	chr20	21100000	21150000	+	-0.538740562031633
chr20-21150000	chr20	21150000	21200000	+	-0.600519564032196
chr20-21200000	chr20	21200000	21250000	+	-0.500483562226107
chr20-21250000	chr20	21250000	21300000	+	-0.658857782400088
chr20-21300000	chr20	21300000	21350000	+	-0.362069497853673
chr20-21350000	chr20	21350000	21400000	+	-0.306336532905095
chr20-21400000	chr20	21400000	21450000	+	-0.748612209323994
chr20-21450000	chr20	21450000	21500000	+	-1.0336061019386
chr20-21500000	chr20	21500000	21550000	+	-0.930851276404009
chr20-21550000	chr20	21550000	21600000	+	-1.00914736693845
chr20-21600000	chr20	21600000	21650000	+	-1.27779532590322
chr20-21650000	chr20	21650000	21700000	+	-1.48943694736681
chr20-21700000	chr20	21700000	21750000	+	-1.48010753564602
chr20-21750000	chr20	21750000	21800000	+	-1.34535056008006
chr20-21800000	chr20	21800000	21850000	+	-1.44373698623968
chr20-21850000	chr20	21850000	21900000	+	-1.43635008449202
chr20-21900000	chr20	21900000	21950000	+	-1.45530544593105
chr20-21950000	chr20	21950000	22000000	+	-1.55621743781675
chr20-22000000	chr20	22000000	22050000	+	-1.4996090244998
chr20-22050000	chr20	22050000	22100000	+	-1.55043856348338
chr20-22100000	chr20	22100000	22150000	+	-1.5124451848506
chr20-22150000	chr20	22150000	22200000	+	-1.37811804907289
chr20-22200000	chr20	22200000	22250000	+	-1.35202661485782
chr20-22250000	chr20	22250000	22300000	+	-1.40912886413935
chr20-22300000	chr20	22300000	22350000	+	-1.24568379323127
chr20-22350000	chr20	22350000	22400000	+	-0.570068489835386
chr20-22400000	chr20	22400000	22450000	+	-0.687588176343626
chr20-22450000	chr20	22450000	22500000	+	-1.05240234269243
chr20-22500000	chr20	22500000	22550000	+	-1.13991024059916
chr20-22550000	chr20	22550000	22600000	+	-1.33251897775596
chr20-22600000	chr20	22600000	22650000	+	-1.32072651083788
chr20-22650000	chr20	22650000	22700000	+	-0.996198312074694
chr20-22700000	chr20	22700000	22750000	+	-0.535675953985769
chr20-22750000	chr20	22750000	22800000	+	-0.524537056326635
chr20-22800000	chr20	22800000	22850000	+	-0.860184923205933
